OBJECTID;SOURCE;X_Este;Y_Norte;MINERAL_PPAL;FORMA_OCURRENCIA;ID_NOM_DEP;IG_MUN;IG_DEP
152;SGC;833290.474;1105220.53;Oro-Au;Diseminado;Mina Orofino;Caramanta;Antioquia
153;SGC;827968.95;1109017.625;Oro-Au;Veta;Yarumalito;Caramanta;Antioquia
154;SGC;778921.812;1132601.343;Oro-Au;Veta;Mina La Culebra;Ciudad Bolivar;Antioquia
155;SGC;887499.681;1156502.833;Oro-Au;Sin información;Veta_Cocorná;Cocorná;Antioquia
156;SGC;864534.997;1200308.09;Oro-Au;Veta;Mina Los Vientos;Concepción;Antioquia
157;SGC;869532.241;1193571.239;Oro-Au;Sin información;Mina Providencia;Concepción;Antioquia
158;SGC;799828.213;1165148.524;Oro-Au;Veta;Mina Loma del Venado;Concordia;Antioquia
159;SGC;742814.276;1252028.683;Cobre-Cu;Diseminado;El Hávila;Dabeiba;Antioquia
160;SGC;755310.961;1272742.929;Oro-Au;Veta;Mina La Paleta;Dabeiba;Antioquia
161;SGC;741970.102;1271501.897;Manganeso-Mn;Veta;Mina Vallecí;Dabeiba;Antioquia
162;SGC;742978.48;1251673.705;Platino-Pt;Aluvial;No Indicado_05_0015;Dabeiba;Antioquia
163;SGC;738910.89;1261245.681;Platino-Pt;Aluvial;No Indicado_05_0016;Dabeiba;Antioquia
164;SGC;741853.587;1261397.11;Platino-Pt;Aluvial;No Indicado_05_0017;Dabeiba;Antioquia
165;SGC;740581.208;1285455.112;Platino-Pt;Aluvial;No Indicado_05_0018;Dabeiba;Antioquia
166;SGC;751297.107;1270382.581;Cobre-Cu;Zona de Cizalla;No Indicado_05_0062;Dabeiba;Antioquia
167;SGC;755180.073;1273119.842;Cobre-Cu;Diseminado;No Indicado_05_0124;Dabeiba;Antioquia
168;SGC;768980.38;1266250.255;Cobre-Cu;Sin información;No Indicado_05_0128;Dabeiba;Antioquia
169;SGC;726891.843;1236102.138;Cobre-Cu;Diseminado;Pantanos;Dabeiba;Antioquia
170;SGC;865382.666;1212396.127;Oro-Au;Veta;Mina El Presidio;Don Matías;Antioquia
171;SGC;950516.582;1352203.139;Oro-Au;Veta;Guamoco;El Bagre;Antioquia
172;SGC;951494.071;1348098.944;Oro-Au;Veta;La Libertad;El Bagre;Antioquia
